81.99.4E;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Altre articolazioni del piede e delle dita del piede"]
81.99.4F;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione metatarso-falangea"]
81.99.4G;["Interventi chirurgici a cielo aperto sulla cartilagine articolare, Articolazione interfalangea del piede"]
81.99.51;["Artrorisi e fissazione temporanea di articolazione, Articolazione omero-glenoidea"]
81.99.52;["Artrorisi e fissazione temporanea di articolazione, Articolazione acromio-clavicolare"]
81.99.53;["Artrorisi e fissazione temporanea di articolazione, Articolazione sterno-clavicolare"]
81.99.54;["Artrorisi e fissazione temporanea di articolazione, Gomito"]
81.99.55;["Artrorisi e fissazione temporanea di articolazione, Polso"]
81.99.56;["Artrorisi e fissazione temporanea di articolazione, Articolazione sacroiliaca"]
81.99.57;["Artrorisi e fissazione temporanea di articolazione, Sinfisi pubica"]
81.99.58;["Artrorisi e fissazione temporanea di articolazione, Anca"]
81.99.59;["Artrorisi e fissazione temporanea, altro"]
81.99.5A;["Artrorisi e fissazione temporanea di articolazione, Articolazione del ginocchio"]
81.99.5B;["Artrorisi e fissazione temporanea di articolazione, Articolazione tibio-fibulare prossimale"]
81.99.5C;["Artrorisi e fissazione temporanea di articolazione, Articolazione talocrurale"]
81.99.5D;["Artrorisi e fissazione temporanea di articolazione, Articolazione subtalare"]
81.99.5E;["Artrorisi e fissazione temporanea di articolazione, Piede e dita del piede, altro"]
81.99.5F;["Artrorisi e fissazione temporanea di articolazione, Articolazione metatarso-falangea"]
81.99.5G;["Artrorisi e fissazione temporanea di articolazione, Articolazione interfalangea del piede"]
81.99.80;["Altri interventi artroscopici sulle strutture articolari, NAS"]
81.99.81;["Altri interventi artroscopici sulle strutture articolari, Polso"]
81.99.82;["Altri interventi artroscopici sulle strutture articolari, Articolazione del ginocchio"]
81.99.83;["Altri interventi artroscopici sulle strutture articolari, Articolazione talocrurale"]
81.99.89;["Altri interventi artroscopici sulle strutture articolari, altro"]
81.99.90;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, NAS"]
81.99.91;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione omero-glenoidea"]
81.99.92;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione acromio-clavicolare"]
81.99.93;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione sterno-clavicolare"]
81.99.94;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Gomito"]
81.99.95;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione radio-ulnare prossimale"]
81.99.96;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Polso"]
81.99.97;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione sacroiliaca"]
81.99.98;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Anca"]
81.99.99;["Altri interventi sulle strutture articolari, altro"]
81.99.9A;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione tibio-fibulare prossimale"]
81.99.9B;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione talocrurale"]
81.99.9C;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione subtalare"]
81.99.9E;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Piede e dita del piede, altro"]
81.99.9F;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione metatarso-falangea"]
81.99.9G;["Altri interventi chirurgici a cielo aperto sulle strutture articolari, Articolazione interfalangea del piede"]
82;["Interventi sui muscoli, sui tendini e sulle fasce della mano"];Interventi su aponeurosi, membrana sinoviale (guaina tendinea), guaina tendinea
82.01;["Esplorazione della fascia [o guaina] tendinea della mano"];Incisione della fascia tendinea della mano;Rimozione dei granuli risiformi nella fascia tendinea della mano
82.01.00;["Esplorazione della fascia tendinea della mano, NAS"]
82.01.10;["Esplorazione-asportazione della fascia tendinea della mano (estensori)"]
82.01.11;["Esplorazione-asportazione della fascia tendinea della mano (flessori)"]
82.01.99;["Esplorazione della fascia tendinea della mano, altro"]
82.09.00;["Altra incisione dei tessuti molli della mano, NAS"]
82.09.10;["Altra incisione dei tessuti molli della mano, Incisione di compartimento tendineo della mano"]
82.09.99;["Altra incisione dei tessuti molli della mano, altro"]
82.11.11;["Tenotomia della mano, Dita della mano, percutanea"]
82.11.20;["Tenotomia della mano, chirurgica a cielo aperto"]
82.12;["Fasciotomia della mano"];Intervento secondo Dupuytren *;Sezione di fascia della mano
82.19.00;["Altra sezione di tessuto molle della mano, NAS"]
82.19.10;["Altra sezione di tessuto molle della mano, Sezione di muscoli della mano"]
82.19.99;["Altra sezione di tessuto molle della mano, altro"]
82.21;["Asportazione di lesione della fascia [o guaina] tendinea della mano"];Ganglionectomia della fascia [o guaina] tendinea (polso)
82.3;["Altra asportazione dei tessuti molli della mano"];Eventuale innesto di pelle (86.61-86.62, 86.73)
82.33;["Altra tendinectomia della mano"];Tenosinovectomia della mano
82.34;["Asportazione di muscolo o fasce della mano per innesto"]
82.35;["Altra fasciectomia della mano"];Intervento secondo Dupuytren *;Risoluzione della contrattura di Dupuytren
82.35.00;["Altra fasciectomia della mano, NAS"]
82.35.10;["Fasciectomia del palmo della mano"]
82.35.11;["Fasciectomia della mano e delle dita della mano con neurolisi"]
82.35.12;["Fasciectomia della mano e delle dita della mano con neurolisi e arteriolisi"]
82.35.13;["Fasciectomia della mano e delle dita della mano con artrolisi"]
82.35.99;["Altra fasciectomia della mano, altro"]
82.36;["Altra miectomia della mano"];Altra asportazione di muscolo della mano *
82.39.10;["Altra asportazione dei tessuti molli della mano, Asportazione di guaine tendinee della mano"]
82.39.99;["Altra asportazione dei tessuti molli della mano, altro"]
82.41;["Sutura della fascia tendinea della mano"]
82.42;["Sutura differita dei tendini flessori della mano"]
82.43;["Sutura differita di altri tendini della mano"]
82.44;["Altra sutura dei tendini flessori della mano"]
82.45;["Altra sutura di altri tendini della mano"]
82.46.20;["Sutura di muscolo della mano"]
82.46.99;["Sutura di muscoli o fasce della mano, altro"]
82.5;["Trapianto di muscoli e tendini della mano"];Trasposizione di muscoli e di tendini della mano *
82.51;["Avanzamento di tendini della mano"]
82.52;["Arretramento di tendini della mano"]
82.53;["Reinserzione di tendini della mano"]
82.54;["Reinserzione di muscoli della mano"]
82.55;["Altra modificazione di lunghezza di tendini e muscoli della mano"]
82.56;["Altro trasferimento o trapianto di tendini della mano"]
82.57.10;["Altra trasposizione di tendini della mano, Trasposizione di tendine flessore della mano"]
82.57.99;["Altra trasposizione di tendini della mano, altro"]
82.58;["Altro trasferimento o trapianto di muscoli della mano"]
82.6;["Ricostruzione del pollice"];Trasferimento di dito in sostituzione del pollice;Eventuale amputazione per trasferimento digitale (84.01, 84.11)
82.61;["Intervento di ricostruzione del pollice completo di nervi e vasi sanguigni"]
82.69;["Altra ricostruzione del pollice"];Innesti di ossa al pollice;Innesti di pelle (peduncolo) al pollice;Procedura cocked-hat [lembi di pelle e osso]
82.71;["Ricostruzione di puleggia tendinea"];Ricostruzione per plastica dell'opponente
82.72.00;["Intervento di plastica sulla mano con innesto di muscolo o fascia muscolare, NAS"]
82.72.10;["Intervento di plastica con innesto di muscolo o fascia, su un dito della mano"]
82.72.11;["Intervento di plastica con innesto di muscolo o fascia, su altre parti della mano"]
82.72.99;["Intervento di plastica sulla mano con innesto di muscolo o fascia muscolare, altro"]
82.79;["Intervento di plastica sulla mano con altro innesto o impianto"];Trapianto tendineo alla mano
82.85;["Altra tenodesi della mano"];Fissazione di tendine alla mano, NAS;Intervento di Fowler *
82.86.12;["Revisione di innesto tendineo della mano (senza sostituzione)"]
82.89.00;["Altri interventi di plastica sulla mano, NAS"]
82.89.10;["Plastica delle guaine tendinee della mano"]
82.89.11;["Rifissazione ossea di legamenti della mano, Carpo e metacarpo"]
82.89.12;["Rifissazione ossea di legamenti di mano, altri legamenti della mano"]
82.89.13;["Distrazione transarticolare dei tessuti molli per anomalie congenite della mano"]
82.89.14;["Radializzazione per anomalie congenite della mano"]
82.89.15;["Resezione di briglie con ricostruzione plastica per anomalie congenite della mano"]
82.89.16;["Trasferimento di dito del piede per sostituire un dito della mano"]
82.89.99;["Altri interventi di plastica sulla mano, altro"]
82.91;["Lisi di aderenze della mano"];Liberazione di aderenze di fascia, muscolo, tendine della mano
82.93;["Aspirazione di altri tessuti molli della mano"]
82.94;["Iniezione di sostanze terapeutiche nelle borse della mano"]
82.95;["Iniezione di sostanze terapeutiche nei tendini della mano"];Iniezione di sostanze terapeutiche nella guaina tendinea della mano *
82.96;["Altra iniezione di sostanze terapeutiche ad azione locale nei tessuti molli della mano"]
82.99.99;["Altri interventi su muscoli, tendini e fasce della mano, altro"]
83;["Interventi sui muscoli, sui tendini, sulle fasce e sulle borse, ad eccezione della mano"];Interventi su: aponeurosi, membrana sinoviale della borsa e della guaina tendinea, guaina tendinea
83.01;["Esplorazione della fascia [o guaina] tendinea"];Incisione della fascia [o guaina] tendinea;Rimozione di corpi risiformi dalla guaina tendinea
83.01.11;["Esplorazione della guaina tendinea, Spalla e ascella"]
83.01.12;["Esplorazione della guaina tendinea, Braccio e gomito"]
83.01.13;["Esplorazione della guaina tendinea, Avambraccio"]
83.01.15;["Esplorazione della guaina tendinea, Regione inguinale e genitale e natiche"]
83.01.16;["Esplorazione della guaina tendinea, Estremità inferiore"]
83.01.19;["Esplorazione della guaina tendinea, Altra localizzazione"]
83.01.99;["Esplorazione della guaina tendinea, altro"]
83.09.12;["Rimozione di corpo estraneo da muscolo, tendine o fascia, Braccio e gomito"]
83.09.13;["Rimozione di corpo estraneo da muscolo, tendine o fascia, Avambraccio"]
83.09.14;["Rimozione di corpo estraneo da muscolo, tendine o fascia, Parete toracica, addome e dorso"]
83.09.15;["Rimozione di corpo estraneo da muscolo, tendine o fascia, Regione inguinale e genitale e natiche"]
83.09.16;["Rimozione di corpo estraneo da muscolo, tendine o fascia, Estremità inferiore"]
83.09.19;["Rimozione di corpo estraneo da muscolo, tendine o fascia, Altra localizzazione"]
83.09.91;["Altra incisione dei tessuti molli, Spalla e ascella"]
83.09.92;["Altra incisione dei tessuti molli, Braccio e gomito"]
83.09.94;["Altra incisione dei tessuti molli, Parete toracica, addome e dorso"]
83.09.95;["Altra incisione dei tessuti molli, Regione inguinale e genitale e natiche"]
83.09.96;["Altra incisione dei tessuti molli, Estremità inferiore"]
83.09.97;["Altra incisione dei tessuti molli, Altra localizzazione"]
83.09.99;["Altra incisione dei tessuti molli, altro"]
83.11;["Achillotenotomia"];Intervento secondo Hauser *;Intervento secondo White *
83.13;["Altra tenotomia"];Aponeurotomia;Liberazione di tendine;Sezione di tendine;Tenotomia per decompressione di sbocco toracico (Thoracic-outlet-Syndrom);Transezione di tendine
83.13.14;["Incisione di tendine, Parete toracica, addome e dorso"]
83.13.15;["Incisione di tendine, Regione inguinale e genitale e natiche"]
83.13.16;["Incisione di tendine, Estremità inferiore"]
83.13.19;["Incisione di tendine, Altra localizzazione"]
83.13.25;["Sezione di tendine, Regione inguinale e genitale e natiche"]
83.13.26;["Sezione di tendine, Estremità inferiore"]
83.13.29;["Sezione di tendine, Altra localizzazione"]
83.14;["Fasciotomia"];Risoluzione di contrattura di Volkmann per mezzo di fasciotomia;Sezione della fascia;Sezione di tratto iliotibiale;Stripping di fascia
83.14.10;["Fasciotomia, Testa e collo"]
83.14.12;["Fasciotomia, Braccio e gomito"]
83.14.13;["Fasciotomia, Avambraccio"]
83.14.14;["Fasciotomia, Parete toracica, addome e dorso"]
83.14.15;["Fasciotomia, Regione inguinale e genitale e natiche"]
83.14.16;["Fasciotomia, Estremità inferiore"]
83.14.19;["Fasciotomia, Altra localizzazione"]
83.19;["Altra sezione dei tessuti molli"];Decompressione muscolare;Miotomia mediante sezione;Miotomia per decompressione di sbocco toracico (Thoracic-outlet-Syndrom);Scalenotomia;Sezione di muscolo;Transezione di muscolo
83.19.00;["Altra sezione dei tessuti molli, NAS"]
83.19.10;["Sezione di muscolo, Testa e collo"]
83.19.11;["Sezione di muscolo, Spalla e ascella"]
83.19.12;["Sezione di muscolo, Braccio e gomito"]
83.19.13;["Sezione di muscolo, Avambraccio"]
83.19.14;["Sezione di muscolo, Parete toracica, addome e dorso"]
83.19.15;["Sezione di muscolo, Regione inguinale e genitale e natiche"]
